5,1,1.45044,0.00279473
6,1,1.53722,0.00184822
7,1,1.62732,0.00123384
8,1,1.72015,0.00083893
9,1,1.81507,0.000580826
10,1,1.91135,0.000407595
11,1,2.00822,0.000287678
12,1,2.10483,0.000201699
13,1,2.20025,0.000137332
14,1,2.2935,8.62512e-05
15,1,2.38357,4.227e-05
5,2,1.54621,0.0052019
6,2,1.63776,0.00336985
7,2,1.73321,0.00225388
8,2,1.83175,0.00154658
9,2,1.93259,0.00108197
10,2,2.03496,0.000766471
11,2,2.13798,0.000545144
12,2,2.24075,0.00038437
13,2,2.34227,0.000262546
14,2,2.4415,0.000164905
15,2,2.53733,8.04488e-05
4,3,1.55484,0.0100208
5,3,1.6467,0.00630004
6,3,1.74399,0.00418131
7,3,1.84547,0.00287124
8,3,1.95026,0.00201742
9,3,2.05752,0.00143954
10,3,2.16642,0.00103607
11,3,2.27604,0.000746027
12,3,2.38539,0.000530838
13,3,2.49342,0.000364823
14,3,2.59901,0.000229843
15,3,2.701,0.000112087
3,4,1.55731,0.0101742
4,4,1.6524,0.00795035
5,4,1.752,0.00580211
6,4,1.8562,0.0041904
7,4,1.96447,0.00303875
8,4,2.07611,0.00221861
9,4,2.19032,0.00162856
10,4,2.30624,0.00119743
11,4,2.42291,0.000876284
12,4,2.5393,0.000631062
13,4,2.65428,0.000437386
14,4,2.76667,0.000276995
15,4,2.87522,0.000135358
1,5,1.45771,0.00277612
2,5,1.55349,0.00516326
3,5,1.65325,0.00633165
4,5,1.75631,0.00581023
5,5,1.86359,0.00477405
6,5,1.9752,0.00374613
7,5,2.09082,0.00288156
8,5,2.20984,0.00219638
9,5,2.33151,0.00166493
10,5,2.45495,0.00125437
11,5,2.57918,0.000935109
12,5,2.70308,0.000682857
13,5,2.82548,0.000478072
14,5,2.94511,0.000304794
15,5,3.06066,0.000149478
1,6,1.55061,0.00183911
2,6,1.65154,0.00335669
3,6,1.75732,0.00418462
4,6,1.86759,0.00419116
5,6,1.98244,0.00374453
6,6,2.10175,0.00314565
7,6,2.22515,0.00255224
8,6,2.35205,0.00202752
9,6,2.4817,0.00158706
10,6,2.61318,0.0012259
11,6,2.74545,0.000931714
12,6,2.87738,0.000690501
13,6,3.00769,0.000488751
14,6,3.13505,0.000313993
15,6,3.25805,0.000154705
1,7,1.64988,0.00122813
2,7,1.75673,0.0022451
3,7,1.86906,0.00286502
4,7,1.98661,0.00303199
5,7,2.10919,0.00287451
6,7,2.2365,0.00254729
7,7,2.3681,0.00216193
